code,description,title
CS34,"Introduction: Currently, there is an extensive area of scholarship around the topic of body image in academia. Predominantly examined within the discipline of psychology, existing research highlights the significant connections between body image issues and wellbeing, particularly among youth populations. Identified as an area of global health concern, body image has been connected to eating disorders, non-suicidal self-injury, and other unhealthy behaviours and practices. Interrogations into these have led to a conceptual expansion of body image, to include areas such as body functionality and body image experiences. This expansion has signalled a call for more social investigations into the construction and experience of body image, with considerations to factors such as socioeconomic class, race, and in particular, gender. While studies have been conducted within the Caribbean, there is a lack of social engagement with body image and body image experiences, that recognises the presence and role of social factors in constructing and shaping how young populations experience gendered body image. Thus, this paper is an initial foray into body image and body image experiences through the lens of the socioecological framework and qualitative methodology.
Objective(s): To explore the social construction of young women s body image and body image experiences in Trinidad.
Methods/Methodology: A qualitative study utilising narrative inquiry was conducted in 2024. Data was collected from nine (9) voluntary participants from a local university campus, using semi-structured interviews. After transcription, data was analysed using thematic analysis, with particular focus on the social interactions, language, and meaning connected to body image and body image experiences.
Results: Three key themes will be presented: (i) the gendered body image of young women, (ii), the role of social media in providing body information and consequently body idealization, and (iii) safety and wellbeing as gendered body image experiences. An important observation in the data were the ways in which vulnerability and safety were components of young women s body image and body image experiences. 
Keywords: Body image; body image experience; gender; young women",A Qualitative Exploration of the Body Image Experiences of Young Women in Trinidad
CS35,"This study investigates the social construction of gender, sex, and sexuality within the Caribbean context of Trinidad and Tobago (TT). Challenging the notion of these identities as innate, the research employs a qualitative approach to explore the primary influences on normative and non-normative identity development. Given the limited research on these concepts within the Caribbean, particularly from a social constructionist perspective, this study aims to identify the significant events, experiences, powers, and institutions that shape identity formation from childhood to adolescence among hyperaware individuals in TT. Utilizing semi-structured interviews and guided by Vygotsky s Sociocultural Theory of Development and the principles of Social Constructivism, the research will analyze the lived experiences of a diverse sample of cisgender, transgender, heterosexual, and LGBTQI+ individuals through grounded theory analytic and thematic analysis using QualCoder software. The findings will provide a novel Caribbean-centric understanding of how these identity constructs are formed, contributing to the field of identity sciences and offering insights to challenge heteronormative paradigms and inform more inclusive understandings of human experience. This qualitative exploration serves as a foundational step for future research into the social construction of gender, sex, and sexuality.","Navigating Identity: A Qualitative Exploration of Gender, Sex, Sexuality, and Self Awareness in Trinidad and Tobago"
CS36,"In 2022 the World Health Organisation, warned that 1.8 billion adults who were physically inactive were at risk of non-communicable diseases. Sedentary behaviour or insufficient physical activity increases the risk of non-communicable diseases such as cardiovascular diseases, diabetes, obesity and mental health issues. Employees whose work is sedentary type are susceptible to increased risks of non-communicable diseases.
Globally there has been an increase in physical inactivity levels and is projected to rise to 35% by 2030. In the Caribbean, Barbados, St Kitts and Nevis and Trinidad and Tobago, have insufficient physical activity averaging between 40-49.9% among adults age 18+ in 2022.This implies that sedentary behaviour is a major contributing factor to physical inactivity even within the workplace. Sedentary behaviour and physical inactivity are most evident in the workplace, especially where employees job design requires a significant portion of time seated.
This inactivity will lead to increased risk of NCDs and also result in substantial economic costs to the individual and family, the workplace and by extension, the society. This is the economic loss to the organisation due to decreased work efficiency and productivity resulting from NCD-related illnesses. A good example of this are the tertiary institutions for higher learning where academic and administrative employees are engaged in prolonged sitting due to the nature of their roles.
This study will look at the levels of sedentary behaviour and physical inactivity of employees at a university. It also seeks to assess the factors influencing tertiary employees  engagement in physical activity and recommend measures to reduce sedentary behaviour and promote physical activity.
A quantitative research design using the Global Physical Activity Questionnaire (GPAQ) will be administered to a sample of 337 academic and administrative employees. Therefore, the findings from this research will provide valuable insights into the current state of physical activity among employees. This data can be used by the Human Resource department to assess the health and well-being of employees and to collaboratively work with other departments to create programmes that will result in a satisfied and happier workforce contributing to increased productivity.
Keywords: Physical Activity, Sedentary Behaviour, Workplace",Physical Inactivity and Sedentary Behaviour among Academic and Administrative Employees at a Tertiary Education Institution in Trinidad and Tobago: Barriers. Health and Economic Costs and Intervention Measures
CS37,"Most work organisations and workplaces are designed with the neurotypical in mind. That is, having a style of neurocognitive functioning that falls within the current dominant societal standards of  normal  (Honeybourne, 2019). Neurodivergent employees often suppress or camouflage their traits to conform to neurotypical norms, which can negatively impact their mental and emotional wellbeing. Research has shown that neurodiverse employees face a heightened risk of experiencing poor mental health outcomes.
Neurodiversity, which includes conditions such as autism, dyslexia, dyscalculia, and dyspraxia, is gaining recognition in both local and international press and within organisations.
A Neuroinclusive Workplace actively includes various information processing, learning, and communication styles (Thompson & Miller, 2024). This culture celebrates mistakes, enhancing creativity and reduces employee stress. This focus on employee mental health and wellbeing is also a key component of psychological safety.
This study aims to identify neurodivergent and neurotypical traits in employees and evaluate their impact on psychological safety; and the extent to which a psychologically safe working environment can mitigate negative mental health and wellbeing effects.
The research will also develop a Neurodiversity Index that organizations can use to assess their ability to support neurodiverse employees and customers. The researcher expects few clinically diagnosed neurodiverse individuals in the population studied. Thus, the emphasis is on neurodiverse traits within the target population, rather than clinical diagnoses.
This is due in part to:
1. The general lack of awareness of neurodiversity in Trinidad and the wider Caribbean.
2. The high cost of neurodiversity assessment.
3. Broad discrimination and stereotyping, which may lead a neurodivergent individual to choose not to disclose.
The researcher aims to examine the characteristics linked to neurodiversity to demonstrate that these traits serve as indicators of cognitive diversity rather than as a diagnostic tool for screening neurodiverse conditions.
The research includes the following:
1. The creation of a Cognitive Variability Survey (CVS) aimed at determining the prevalence of neurodivergent traits within the working population.
2. The application of the Psychological Safety Scale (PSS) to assess the perception of psychological safety among the population.
3. The development of an Employer-based Neurodiversity Index, for companies to evaluate their preparedness to support neurodivergent employees and customers.
Methodology: Mixed Methods (Qualitative) Interviews, and Mediation Effect statistical analysis (Quantitative).
Expected Results: The research expects a statistically significant difference between rates of psychological safety and mental health and wellbeing for employees who identify as neurotypical and neurodiverse (with the neurodiverse group having a negative effect). The
study also aims to identify strategies that organisations can employ to increase psychological safety for neurodiverse employees, which will also benefit neurotypical.",Do Neuroinclusive Work Environments Increase the Likelihood of Psychological Safety for Neurotypical and Neurodiverse Employees in Trinidad and Tobago?
CS38,"Due to growing concerns about unrealistic body ideals promoted by social media, extensive research has examined its impact on body image, beauty standards, and overall well-being, primarily in the Global North. However, there is a significant gap in understanding how these beauty standards are constructed and adopted, particularly regarding preferences for different body types and body dissatisfaction in the southern Caribbean, especially in Trinidad and Tobago. To explore these dynamics, I employed a phenomenological design and conducted twelve semi-structured interviews with six males and six females in Trinidad and Tobago. By applying social comparison theory, objectification theory, and hyperreality, I examine the relationship between social media platforms, gender-specific behaviours, peer validation, and body satisfaction or dissatisfaction. The research reveals complex dynamics in which social media serves as a catalyst for upward social comparisons, leading to decreased body satisfaction among participants of both genders. Participants reported feelings of dissatisfaction and negative emotions regarding their bodies, often wishing to change their appearance to align with the idealized images they encounter on social media. Key findings indicate that these feelings of dissatisfaction are linked to ideals surrounding the  perfect  body, which can result in adverse outcomes such as (i) adopting a false persona, (ii) engaging in obsessive self-improvement behaviours, (iii) preoccupation with achieving thinness, (iv) fixation on exercise and diet, (v) upward social comparison, and (vi) low self-esteem. The study emphasizes the importance of gendered experiences and the influence of peer interactions in shaping body image perceptions. It highlights the need for a more nuanced understanding of how global beauty ideals are negotiated in local contexts. Additionally, this analysis contributes to the broader discussion about promoting media literacy, body positivity, and mental well-being. It underscores the necessity of recognizing and addressing the unique challenges faced by youth in the southern Caribbean.
Keywords: Social media, body dissatisfaction, peer validation, social comparison, objectification and hyperreality.",The Social Construction of Feminine and Masculine Beauty Ideals
CS39,"The performance of the West Indies test cricket team began declining in the mid-1990s after dominance (1976-1995). The decline took place simultaneously with the emergence of Brian Lara, one of the greatest players in West Indies' history and world cricket. Despite Lara s tremendous performances, the team fell behind arch-rivals Australia, India, England. and South Africa. The paper builds on previous literature regarding peer effects in reciprocally interdependent context and aims to address the lack of research on the within game effects of over-reliance on a star player and its impact on game outcomes. It views the potential crowding-out effects of a star player through the lens of the international trade theory known as the Dutch Disease. Using Generalized Additive Models (GAMs), this study investigates the presence of non-linear relationships between elements of Lara s batting and game outcomes with consideration for contextual conditions such as whether the team bats first. At a game level, Lara s presence is not significant. However, significant nonlinear interactions are identified at an innings level with varying effects depending on whether or not the team bats or bowls first. A critical finding is that for most of the interval, increases in Lara s strike rate had a crowding out effect on the rest of the team s runs in a given innings, eventually becoming positive at extremely high strike rates. These findings indicate some mismatch in Lara s offensive skillset and the needs of the rest of the team and underscore the importance of strategic utilization of star players such as Brian Lara to optimize team performance and outcomes. It presents an invaluable opportunity for West Indies cricket to acquire profound insights into the actions and strategies of individuals and teams. These insights can significantly inform their decision-making processes and facilitate the development of more effective game strategies, thereby enhancing competitiveness and yielding more favorable outcomes on the field of play.
Keywords: Brian Lara, West Indies, Cricket, Dutch Disease, Booming Tradeable Sector",An Empirical Investigation of the Impact of a Star Player on Team Performance: Brian Lara on the West Indies Test Cricket Team 1990-2006
CS40,"Healthy, stable food sources are essential for well-being. Considering alternative food sources for human populations is one way to enhance food security in the Caribbean. The case of the Caiman crocodilus (Spectacled Caiman) as an alternative food source is considered in this study. Developing standardized primal, sub-primal and commercial cuts, yield standards, and nutritional value for the Caiman crocodilus are vital in the process of developing a market for the animals  consumption. This study aims to describe the carcass characteristics and the nutritional profile of wild caught C. crocodilus found in Trinidad and Tobago. Five adult C. crocodilus specimens were examined. The fabricated tail of C. crocodilus constituted 28.32   4.50% of the carcass weight with the highest meat to bone ratio. The results of the proximate analysis to determine the moisture, protein, lipid, and ash content of a homogenized sample of neck and tail meat was also conducted. Based on these carcass characteristics and nutritional profile, this study can be used to justify further exploration into the use of C. crocodilus as an alternative meat source and to further evaluate the impact of an alternative protein sources  ability to improve the food security in Trinidad and Tobago and the wider Caribbean region.",Enhancing Food Security in the Caribbean: Carcass characteristics and nutritional profile of wild Caiman crocodilus (Spectacled Caiman)
CS41,"Caribbean academia is vulnerable to the 2-decade-long threat of predatory publishing. Academic scholarship, assessment and promotion, grant-funding, and academic legitimacy are at risk for early-career researchers, postgraduate students, and faculty aspiring towards these professional goals. This issue is particularly salient because vulnerability lies partially in the fact that no one source governs the identification of journals globally. In addition, there is significant confusion regarding how to conduct thorough and structured investigations into journal titles for manuscript submission. Academic publishing now demands a mandatory 'research before the research' process.
Objective(s): This study aims to:
Define predatory publishing
Highlight the role of the academic library in promoting credible and accessible scholarly
publications for manuscript submission, and the non-complicit role and strategies for the researcher amidst the predatory publishing landscape
Emphasise the role of the researcher in upholding academic integrity.
Outline a suite of subscribed and open resources available to Caribbean academic researchers to drive decision-making with regards to journal selection and manuscript submission.
Identify a process map for investigating predatory-journal status
Method: Study presents a logical and recommended workflow for investigating a journal to determine its authenticity/predatory status. It incorporates:
the institutional-approved authority database for identifying predatory journals
secondary subscribed resources for validating journal titles and publishers open resources for verifying open access resources
open resources for non-Western journals
publisher-support resources
online UWI library subject guides on the subject matter
Conclusion: The capricious nature of predatory publishing advances roles and initiatives for both library and researcher. The imperative is on the library to provide, identify and conduct training for a suite of resources that establish journal credibility. In turn, the researcher s responsibility is to use these resources and continuously stay abreast of trends and changes. By identifying solution-oriented resources and a process map, this poster advocates for academic research integrity, and supports the development of a more equitable and informed scholarly culture in the region.",Navigating the Threat of Predatory Publishing at the University of the West Indies St Augustine Campus: a Library and Researcher Alliance
CS42,"Social justice is by no means a 21st century concept. Essentially, over time, key attributes of the concept that have stayed constant are the issues of equality and equal distribution of resources. History and research have shown that since the 1900s higher education institutions within the Caribbean have experienced an increase in the number of people with disabilities that are qualified and accepted for matriculation. Additionally, it is imperative that we look at the progression of philosophy through a social justice lens. This research is an exploratory one where the history of social justice is reviewed both in the context of societies and higher education institutions within the Caribbean. The discourse on the intersectionality of social justice and disability is new but increasing in attention in Small Island Developing States (SIDS) within the Caribbean. This paper aimed to interrogate social justice theory and its impact on the philosophy of Caribbean educational institutions. In 1995, when The UWI approved a Statement of Intent, with respect to students with disabilities, it sought to facilitate the rights of persons with disabilities to acquire a university education and ensure that no person who was academically qualified was denied entry due to a disability (F&GPC, 1995). The paper will document the voice and lived experiences of 5 students with disabilities from varying countries, who attended The University of the West Indies (UWI). UWI is hallmarked as the largest and most longstanding public higher education institution in the Caribbean. It is hoped that the results will show that progression is one where social justice is central to the experiences and lives of students with disabilities having moved from one that was discriminatory to one of equality.
Key words: Social justice, disability, higher education, Caribbean",A more expansive explanation of the relationship between the variables and the intersectionality of social justice and disability; its impact on the philosophy of higher education in the Caribbean
CS43,"A disproportionate marginality exists for persons with disabilities in the Caribbean and further women who face  double discrimination  according to Davidson in her examination of  Women, Disability and the Law: A Commonwealth Caribbean Perspective (Davidson 2021). As a graduate student studying Interdisciplinary Gender Studies and given my recent undertakings that led me to the field of disability studies, the intersection between the two is apparent to me, perhaps more so than the average person. As I immerse myself more in this work and witness the lived experiences of women, I find it necessary to advocate, build alliances and raise public awareness where possible. The attention to persons with disabilities in the Caribbean is one that is gender blind, not examining collective injustices but individual ones. The intersectionality that exists between gender and disability makes women and girls with disabilities highly vulnerable to intimate partner violence, genderbased violence and mental and physical harm. Additionally, the specific plight of women and girls with disabilities in the Caribbean therefore requires further attention. For the purpose of this research, I will conduct a desk review of existing quantitative and qualitative data as it relates to gender-based violence and women with disabilities, examining policies, previous research conducted, reports from statistical offices, development frameworks and initiatives by International Development Partners. The main objective is to assess how women with disabilities are accounted for in the push to end gender-based violence. The timeline observed here, spans 2015 to present day with specific focus on Trinidad and Tobago and Saint Lucia. It encompasses 10 years with the starting point being, the United Nations Sustainable Development Goals (UNSDGs). The UNSDGs were launched with the agenda to  Leave No One Behind  (UNSDG), however, it must be probed for discussion and taken up action to assess, are we truly on the path to reducing inequalities amongst our most vulnerable populations?
Key terms: disability, women and girls, gender-based violence, Caribbean, development","Women, Disability and Praxis in the Caribbean: A Decade of Inclusivity"
CS44,"Gender inequalities in sport incorporate not only opportunities to play sport but also access to physical education, resources, finances, participation on governing bodies and even access to decision-making roles (Council of Europe 2011, 2019). In my personal experience as a female sport administrator the number of women working in sport has increased but those who transcend to top leadership positions are restricted. The purpose of this current research is to highlight the experiences of Women leaders in sport; and validate their experiences via open ended interviews and analyzed through the lens of the Hegemonic masculinity theory (Connell 1987, 1995). There is currently a dearth in literature regarding women leadership in Caribbean sport. This would benefit the Caribbean region by yielding current research and igniting new perspectives on this contentious issue. This new data can be used to inform strategic appointments and decisions in sporting organizations in tandem with United Nations sustainable development goal five; gender equality and empower all women and girls.
Keywords: Leadership, Sport, Caribbean, Gender, Inequality",Women's leadership in sport in small island developing states: Trinidad and Tobago
CS45,"As Caribbean governments accelerate digital transformation, many are rapidly adopting AI-powered cloud technologies to modernise public services from welfare systems to national security. Yet, critical questions of accountability and data protection remain dangerously unresolved. This rush toward innovation exposes a critical governance vacuum. Algorithms increasingly make consequential decisions, without a clear ethical framework for accountability. Who is responsible for AI misclassifications? Who protects citizens when state systems are outsourced to unaccountable tech vendors?
The proposed framework confronts colonial dynamics embedded in technological dependency, offering a regional, enforceable governance model anchored in two pillars:
1. Ethical AI Accountability   legally enforceable standards for algorithmic audits, vendor obligations, redress mechanisms and impact assessments;
2. Decolonial Data Protection   embedding privacy by design, zero-trust security and regional legal reform to protect Caribbean citizens from digital exploitation.
Drawing on case studies from the Global North (Europe and the United States), the paper illustrates how AI failures disproportionately harm vulnerable communities when deployed without transparency, oversight, or public consent. These failures are not just technical they are ethical collapses with legal and societal consequences.
The study employs legal analysis, public-sector procurement reviews and AI contract prototyping to assess Caribbean public-sector readiness and propose enforceable policy tools for governance. The goal is not simply to improve performance but to embed public protection, trust and justice into every layer of state technology.
This research calls for the Caribbean to shift from a passive consumer of foreign AI tools to an active architect of its digital future. By centering accountability, ethics and sovereignty, it provides a roadmap for AI systems that respect and protect the rights of Caribbean people. This is not ethics that whispers. It s ethics that bites back.",The Bite of Accountability: Ethical AI and Decolonial Data Governance for Caribbean Public Sectors
CS46,"The development of edible films and coatings from natural biopolymers has gained global attention as a sustainable alternative to conventional plastic-based food packaging. These films, particularly when infused with bioactive compounds, have been shown to enhance food preservation by providing antimicrobial and antioxidant properties. However, to this date, limited research in this area within the Caribbean has left the region reliant on outdated and unsustainable food packaging methods.
This study reports, for the first time, the extraction of pectin from Melicoccus bijugatus (chenet) shell waste and its use in fabricating bioactive edible films. Pectin was first retrieved from the shell waste through conventional hot-acid extraction and then used to formulate films comprising of 5% pectin, 30% glycerol (v/w pectin), and varying concentrations (0.5-1.5%) of nano-emulsified West Indian Bay leaf (Pimenta racemosa) essential oil. FTIR analysis indicated good compatibility between the essential oil and the film matrix. The nano-emulsion-infused films (NE-films) exhibited increased thickness and reduced transparency compared to the control (0% oil).
Furthermore, due to the hydrophobic nature of the oil, the NE films displayed reduced water vapor transmission rates, solubility, and moisture content compared to the control. Although the NE-films showed higher oxygen permeability than the control, they demonstrated significantly enhanced antioxidant activity, with DPPH radical scavenging rates ranging from 58% to 77%, compared to 25% for the control.
These findings demonstrate the feasibility of repurposing Melicoccus bijugatus shell waste into sustainable, bioactive films suitable for food packaging applications. Moreover, the valorization of Melicoccus bijugatus shells supports a circular economic model for food waste management, aligning with Goal 12 of the United Nations Sustainable Development Goals. These encouraging findings also underscore both the importance and the need for further, similar research within the Caribbean as it pertains to the regional advancement of sustainable food packaging technologies.
Keywords: Melicoccus bijugatus, chenet, pectin, edible film, Pimenta racemosa, essential oil
",From Waste to Value: Development of Edible Films from Chenet Shell (Melicoccus bijugatis) Pectin
CS47,"The persistent influx of Sargassum natans onto Caribbean coastlines since 2011 has created significant ecological and socio-economic challenges, including waste accumulation, habitat disruption, and negative impacts on tourism and fisheries. In this work, we investigate the valorization of this invasive biomass as a sustainable feedstock for producing alginate-based bioplastics, offering a dual benefit of mitigating coastal pollution while developing bio-based alternatives to petroleum-derived plastics. Multistage extraction and precipitation were used to enhance the yield and purity of alginate compared to conventional single-stage methods, which yielded 17% with a 71% purity. By employing Response Surface Methodology (RSM) in combination with multistage extraction, the process was optimized and conditions validated, yielding 28% with 92% purity, among the highest reported for Sargassum. Process optimization revealed that temperature and time were the most critical factors influencing extraction efficiency, with optimal conditions of 80  C, 12.63 mL/g Na?CO? (3.75% w/v), and 6 h reaction time. Bioplastics fabricated from pure Sargassum exhibited subpar properties, limiting their practical applications. Thus, composite technology was employed and optimized composite films were formulated with plasticizers (sorbitol, PEG-200) and reinforcement agents (starch, carboxymethyl cellulose). Using a central composite design (CCD), the composite properties were optimized to achieve favorable mechanical and barrier characteristics, including tensile modulus values up to 3.93 GPa, ultra-low oxygen permeability (0.2 cm  ?m m?  d?  kPa? ), and good water vapor transmission (2.18   10?   g m/m  s Pa). The optimized prototype demonstrated biodegradability within 14 days and performance metrics comparable to polylactic acid (PLA) and polyethylene terephthalate (PET), highlighting its potential suitability for food packaging applications. Finally, a process flowsheet was developed integrating heat and mass balances, demonstrating feasibility for scale-up. This study illustrates how Sargassum valorization can contribute to the circular economy in the Caribbean and support the transition toward sustainable bioplastic industries aligned with the United Nations Sustainable Development Goals (UNSDGs).
Keywords: Calcium Alginate, Bioplastics, Alginate, Sargassum natans, Plastic Pollution",Calcium Alginate Bioplastics from Sargassum for a Sustainable Future: Advancing Circular Economy Solutions in the Caribbean
CS48,"The presence of microplastics in edible freshwater fish tissues from Guyana remains largely unexplored. This study aimed to assess the occurrence of microplastics in environmental samples (water and sediments), and tissues of Oreochromis mossambicus (tilapia), comparing specimens from a fish farm and wild caught counterparts from an open trench at Borlam, No. 19 Road, Corentyne-Berbice, Guyana. Microplastics were extracted from tilapia tissues, sediment and water using potassium hydroxide (KOH) digestion, followed by density separation and vacuum filtration. Recovered particles were identified by microscopic examination and quantified statistically. A total of 68 microplastic particles were recovered from 18 specimens of O. mossambicus, with farmed fish exhibiting a higher average (8.83   15.68 particles/individual). Environmental samples yielded 61 microplastic particles, averaging 7.7   8.3 particles/L and 8.7   3.8 particles/L, in water from the fish farm and trench, respectively, and an average of 2.3   4.0 particles/g and 1.7   1.2 particles/g in the sediment. Morphological analysis revealed blue and black-colored fibers as predominant in all samples. No statistically significant differences were observed in the abundance of microplastics between farmed and wild fish, or between water and sediment samples from the two environments. The study was limited to one species and location, with particle identification based solely on microscopy, thus, further research to access the spectroscopic properties of particles over a larger geographic range can be done. Overall, these findings highlight the ingestion and accumulation of microplastics in tilapia, and its environment, raising concerns about their potential impacts on aquatic ecosystems, aquaculture sustainability, and human health through fish consumption. As the first known study to document microplastic contamination in tilapia and associated environments in Guyana, providing baseline data to support regional research, policy, and public awareness.
Keywords: Microplastic, bioaccumulation, aquaculture, pollution, anthropogenic activities, Tilapia (Oreochromis mossambicus).","Microplastic Pollution in Tilapia (Oreochromis mossambicus), Water, and Sediments from a Fish farm and Trench at No. 19 Road, Guyana"
CS49,"Salinity stress is a major abiotic factor limiting rice (Oryza sativa L.) productivity worldwide, particularly in coastal and arid regions. As global climate change exacerbates soil salinization, the development of salt-tolerant rice cultivars has become a critical goal in sustainable agriculture. This review provides a comprehensive analysis of recent advances in identifying and characterizing the molecular basis of salinity tolerance in diverse rice genotypes and the role Guyana plays in developing salt-tolerant rice genotypes. Traditional screening methods, including phenotypic evaluations under saline conditions, have facilitated the classification of genotypes based on tolerance levels. However, the integration of molecular tools, such as quantitative trait locus (QTL) mapping, has significantly enhanced the understanding of the genetic architecture underlying salinity tolerance. The researcher is PhD candidate at the University of Guyana and is working currently in collaboration with the Guyana Rice Development Board to identify rice genotypes with tolerance to salinity at 0ppm (T1), 500ppm (T2), 1000ppm (T3), and 1500ppm T4), analyze genetic diversity among rice genotypes in relation to salt tolerance using molecular markers, analyze biochemical characterization of the salt tolerance genotypes and to determine the growth, yield, and yield attributes of the salt tolerance genotypes. For the first cropping season of 2025, a total of 100 rice genotypes were selected and evaluated with the four salinity treatments mentioned above under screen house conditions, where the experiment was replicated three times using a split-plot design. The germination test was completed, and the main result indicated that there were no significant differences in the rate of germination among the 100 rice genotypes under the various treatments. At the tillering and grain filling stage in treatment 4, there were significant differences among the 100 rice genotypes.
Keywords: Rice, salinity tolerance, genotypes, QTL mapping, gene expression, molecular markers, germination, abiotic stress",Molecular Insights into Salinity Tolerance in Rice Gentotypes (Oryza sativa L.): A Comprehensive Review with a focus on Guyana's Role in Developing Salt-Tolerant Varieties
CS50,"Paper packaging is increasingly being used to replace single use plastics. However, there are growing environmental concerns associated with synthetic plastic coatings for paper packaging, particularly poly- and perfluoroalkyl-based polymers (PFAs), which are non-biodegradable. The study aimed to optimize the additive composition of paper packaging from leaves and develop a biodegradable, waterproof coating for the paper packaging using a cutin-chitosan composite.
A Box-Behnken Design was employed to determine the response surface methodology for optimizing tear strength for different combinations of starch, calcium carbonate and silica. Cutin was extracted from leaf biomass using a solvent-free, environmentally friendly approach. A cutin-chitosan composite was produced and the mechanical, optical, and water-resistant properties of the coated paper were assessed through tear strength tests, FT-IR, TLC, MS, XRD, and SEM. Additionally, the study examined the biodegradability of the cutin-chitosan-coated paper.
The paper with the 0.008% starch: 0.005% calcium carbonate: 0.005% silica paper had the highest mechanical strength properties. Chemical analyses confirmed the purity of cutin, and SEM imaging revealed a smooth topography. The cutin-chitosan composite had exceptional waterproof and mechanical strength properties, with a tensile strength of 60 N and completely biodegraded after one month. The novel contributions of this research are the low-cost, green extraction of cellulose and cutin from leaves that were not previously studied, for value added paper packaging.
The scale of production from laboratory to industry needs larger equipment to lead to commercialization in a pilot plant.
Paper packaging with additives and biodegradable coatings form an environmentally safe alternative to single use plastics, notably for packaging where the lifespan can be as short as a few seconds. This is a circular bioeconomy approach for waste foliage.
Keywords: cutin; chitosan; Box-Behnken Design; biodegradable; waterproof; paper",Waterproof Cutin Chitosan Composite Coated Paper Packaging from Leaf Biomass
CS51,"Regression Problem
Tall tower wind speeds in Ragged Point, Barbados, were analyzed in study to determine the forecast ability of Transformer Neural Network (NN) and the Long Short-Term Memory Network (LSTM) in this regression problem. These predictions were compared to a benchmark classical statistical method of Autoregressive Integrated Moving Average (ARIMA). The model s predictive system was multi-step using a sliding window approach where the input and output generated pairs of input sequence length or window size and output sequence length or forecast horizon were slide or shifted one element down. These models, which were constructed using PyTorch, consisted of hyperparameter tuning using a Random Search, as well as it utilized a Learning Rate scheduler and Early Stopping Implementations. It was determined that the LSTM outperformed the Transformer NN. However, when compared with the benchmark, the ARIMA incurred more errors when tested at the higher window size of 360 minutes for the largest evaluated forecast horizon of 30 minutes. This is an extension of forecast methods used in for the tropical region of Barbados with changes to the models  infrastructure and forecasting architecture.
Classification Problem
Socio-economic data inclusive of energy expenditure and income are to be used in this study of territories within the Caribbean region. A four-quadrant grid approach is to be utilized to determine the poverty classes of no risk, high risk, income risk and expenditure risk in keeping with the study, done in the Mid-West, USA. Machine Learning will then be utilized to predict these energy poverty classes. These techniques are not restricted to Decision Trees, Random Forest, Extreme Gradient Boosting (XGB) and Support Vector Machine (SVM). The accuracy and thus predictability of these models will be analyzed to determine which is the most efficient for classification of these Caribbean datasets.
Keywords: Transformer Neural Networks, LSTMs, Moving ARIMA, Energy Poverty, Decision Tree, Random Forest, Extreme Gradient Boosting (XGB), Support Vector Machine (SVM)",Energy Forecasting and Energy Poverty using Machine Learning Techniques for regions within the Caribbean
CS52,"The Caribbean has been identified as a hotspot of biodiversity with an estimated 72 % endemism among approximately 11,000 plant species and 182 genera. Taking into consideration the metabolomics of the endemic species, it is anticipated that the Caribbean hotspot is also a site of molecular endemism. These unique molecules biosynthesized via enzyme-controlled pathways, including shikimate and polyketide, would exhibit diverse bioactive properties in the form of secondary metabolites including alkaloids, flavonoids, phenolics and terpenoids. This degree of molecular endemism should be defined and explored for potential therapeutic value by utilizing modern technologies accessible to island economies. In modelling species from the Lamiaceae family, Orbital Trap MS2 Spectrometry, followed by the application of the Schrodinger Suite for molecular modelling, led to the identification of flavonoids and glycosides with activity against the COVID 19 virus. Both novel and known compounds, including flavonoids and flavonoid glycoside quercetin, luteolin and rutin, were characterized from the acquired spectra. One known glycoside was shown to hinder proteins that regulate the replication of the COVID 19 virus, with more exothermic binding energies than the standard Remdesivir. This model paves the way for guided exploration of Caribbean plant biodiversity to reveal bioactive endemic therapeutics without the high input costs associated with extensive bench experimentation. This could prove to be invaluable in the management of the health burden associated with the occurrence of NCDs in the region.
Key Words: Biodiversity, Secondary metabolites, Bioactive properties, Novel therapeutics
",Orbital Trap Mass Spectrometry Combined with Molecular Modelling as a Fast Track for Drug Discovery within the Caribbean Hotspot of Molecular Endemism
CS53,"Soil-related hazards currently stand as an under-recognised barrier for achieving sustainable infrastructure development in the Caribbean. Expansive soils, a hidden geotechnical disaster that threatens infrastructure stability, are soils that undergo significant volume change due to fluctuations in moisture content, which is exacerbated by the local tropical climate. These soils cause widespread damage to buildings, roads, pavements, and other critical infrastructure, placing significant financial strain on communities. This study aims to develop a soil expansion map, which can be integrated into planning processes, thereby reducing infrastructure vulnerability and advancing the Sustainable Development Goals (SDGs 9, 11, and 13). A total of 100 soil samples were collected from Trinidad and were tested based on standard geotechnical properties along with the free swell index, which is a simple and low-cost method for assessing soil swelling potential. This data was used in conjunction with spatial interpolation using inverse distance weighting (IDW) in GIS to generate an expansive soil map. The approach provides an accessible decision-support tool for engineers, planners, and policymakers, bridging scientific data with societal needs. Results revealed critical areas vulnerable to infrastructure damage, particularly in the central and southern regions of Trinidad. These findings demonstrate the feasibility of integrating low-cost laboratory testing with spatial modelling to identify high-risk areas at early stages of project planning. This work provides an integrated framework for expansive soil risk assessment in Trinidad, demonstrating how geoscience can be mobilised for sustainable development. Beyond the technical findings, this research offers a practical decision-support tool which can be incorporated into policy, land-use planning, and infrastructure design to reduce disaster risk, strengthen resilience, and progress towards SDG 9 (resilient infrastructure), SDG 11 (sustainable cities), and SDG 13 (climate action).
Keywords: Expansive soils, infrastructure resilience, risk mapping, Caribbean, sustainable development",Expansive Soil Hazards and Sustainable Delevolpment: A Framework for Infrastructure Resilience in the Caribbean
